"Source:","D:\Projects\Skripsi\Converter-Regulator Hardware\3_phase_firing.kicad_sch"
"Date:","25/01/2023 14:25:10"
"Tool:","Eeschema (6.0.9)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","61"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x7.7","~"
"","","C2","100uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x7.7","~"
"","","D1","DB106S","Device:D_Bridge_-A+A","Diode_SMD:Diode_Bridge_OnSemi_SDIP-4L","~"
"","","D2","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D3","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D4","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D5","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D6","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D7","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D8","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D9","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D10","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","D11","1N4007","Device:D","Diode_SMD:D_SMA_Handsoldering","~"
"","","J1","IN1","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"","","J2","IN2","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"","","J3","OUT","Connector:Screw_Terminal_01x12","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-12-5.08_1x12_P5.08mm_Horizontal","~"
"","","Q1","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"","","Q2","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"","","Q3","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"","","Q4","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"","","Q5","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"","","Q6","MMBT3904","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
"","","R1","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R2","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R3","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R4","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R5","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R6","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R7","100K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R8","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R9","100K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R10","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R11","100K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R12","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R13","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R14","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
